branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
16292,2200,9386,29109,36527,312173,72891,1173250,3237,19331,12101,0,0,0,0,0,0,0,0,0,1
16285,2045,8582,24576,35239,315207,72866,1072500,3101,19324,12098,0,0,0,0,0,0,0,0,0,1
16305,2148,9193,25940,35189,305640,72960,1148625,3177,19350,12106,0,0,0,0,0,0,0,0,0,1
16948671525,48355047,239324626,2205121,92908049,45611931262,74035178915,29914025379,53547323,20011730987,12977824062,760180576,21088762,325641,48351741,250,20024027768,1004,13005155042,37606406,1
16763,2329,8760,26249,36782,331503,75693,1095000,3396,20011,12555,0,0,0,0,0,0,0,0,0,1
16424,2271,9619,26835,36413,319846,73839,1201875,3252,19462,12184,0,0,0,0,0,0,0,0,0,1
17059,2344,9915,25632,38264,329839,77183,1239875,3398,20452,12865,0,0,0,0,0,0,0,0,0,1
31294,4469,18458,57695,70785,613821,146909,2307250,6061,38859,24338,0,0,0,0,0,0,0,0,0,1
16485,2237,8974,27940,36150,340975,74175,1121625,3276,19648,12326,0,0,0,0,0,0,0,0,0,1
9244813,181836,1438041,624304,2430316,53098823,66263499,180271375,1328264,18533827,10770082,5141567,207209,114914,237692,0,0,0,0,0,1
16385,2246,8395,22545,35616,311440,73671,1049500,3059,19417,12163,0,0,0,0,0,0,0,0,0,1
16283,2078,9432,31019,35312,313652,72861,1179000,3305,19320,12100,0,0,0,0,0,0,0,0,0,1
16605,2266,9090,25560,34501,302279,75058,1136250,3176,19762,12404,0,0,0,0,0,0,0,0,0,1
