L1-dcache-stores,LLC-loads,dTLB-stores,L1-dcache-load-misses,cache-references,dTLB-store-misses,L1-dcache-loads,L1-icache-load-misses,LLC-stores,branch-instructions,branch-loads,branch-load-misses,branch-misses,cache-misses,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,instructions,Class
15243977,631552,12850919,1939867,2846275,60947,51351860,1371380,180637,16137026,16137026,597948,862899,523694,257078702,376191,20442337,64452,73458050,0
165985816,4924936,182430694,12866935,1516581,21685,16967967,527824,85989,7165808,7165808,302964,434729,303113,96903248,208174,340239619,797313,1131880609,0
8118775,453015,5781577,796845,828083,15175,5913039,293561,76771,7605858,7605858,279560,217666,265562,53887350,139394,12619112,23535,36420931,0
7006339,522136,7317228,864330,978416,16349,10488726,442482,81588,5924722,5924722,271521,248291,267659,59921815,176794,13490555,26391,39145416,0
8535377,654079,10176275,844257,1283770,15842,14636090,450439,72677,5517290,5517290,232282,203002,235549,52644220,126342,13903704,25045,46917156,0
14813913,901510,15604172,1595170,2848791,56446,58343569,2108789,176514,16044609,16044609,593293,863562,488904,260349599,355551,24737523,60610,83773970,0
1121980832,11277554,1125715489,41362454,32673018,788005,1410132369,18225018,2157417,1355944425,1355899932,76222716,76214061,1220119,7059844749,9417460,2080746332,1931659,6438182775,0
7706801,1344672,8400428,2142247,3696168,49712,16581677,1133566,192380,6312598,6312372,636561,623334,254657,147678492,616763,13295301,63525,32978313,0
10215400,1489000,9859726,2244316,4117756,49345,16256525,1331192,205305,7055226,7055202,666358,643752,325967,154787813,642191,14435442,69910,35816149,0
8875041,1214342,7647413,2040414,4135746,48714,13826320,1193120,198330,6637960,6637818,631992,628561,288552,153959168,632496,15730210,52895,49773830,0
16111337,1885517,16162208,3366455,5199713,68657,23068518,1716336,304346,17934883,17934668,1048104,1278133,592222,367533561,881956,29489172,105368,94673332,0
351814034,2250597,387212307,7343187,9099238,312097,972351541,5874015,735129,296009348,295821203,11657671,14530409,969371,1857103582,1338898,755035107,325160,2842893891,0
4917112,324080,4999721,665312,861065,14682,5009343,299390,73106,5314061,5314061,249577,217397,264302,51661370,137302,7779334,19447,23699401,0
5967739,425316,4993590,731325,1189352,20127,8954075,576744,79235,5932489,5932489,277543,247844,297465,64852703,174039,8351518,21638,25821192,0
5295562,283694,5315109,732397,1165134,17046,19557473,431299,74198,7509470,7509470,241064,262852,299972,62615723,146389,8801488,16280,34035470,0
12763977,667052,13726443,1388333,2736217,28651,23590222,1692464,330302,60450245,60450245,925493,604878,394108,141030394,280773,75567671,129733,265281174,0
11040176,502441,8735653,967362,5765489,155205,189289553,2922570,527736,98714259,98573151,3978325,4016544,510332,514980826,815732,14879174,38385,55472296,0
4770771,374261,6922972,723026,1111302,17920,1903644,386185,78526,5402258,5402258,256926,256494,287894,58401341,159245,9090429,20968,28719067,0
6840839,541240,8195688,872601,1123208,20925,11192340,569600,86571,6027728,6027728,293209,290926,304035,67227105,191699,9442293,22194,29906116,0
5103502,393059,7727236,756180,819115,13585,10692873,411368,77343,5680243,5680243,251393,240676,282882,58221516,137582,9743649,18449,37582917,0
15669161,912500,16212666,1487290,1789123,32346,11719236,731152,146342,13882306,13879584,566298,897909,454483,251589047,357330,21123185,57556,75766027,0
717662579,16001898,691524031,54513360,21433972,414735,246753329,11055029,1376879,231050234,230973197,7616861,7508128,2094191,1429161771,2424145,1476848401,2208710,4483929927,0
3627085,335813,6558337,755052,964798,16826,5666992,344869,63954,4383647,4383647,214983,208927,255583,49207023,131523,7373293,31315,23238322,0
3829974,456399,6997707,577523,1183862,21697,7663654,521755,74026,5020964,5020964,250246,246945,284657,59745263,162740,21024001,30238,79029389,0
6474729,313406,5312928,699074,975201,14380,10996404,473589,61706,4692341,4692341,198720,202223,248242,50577740,121394,8365076,19231,32763359,0
13910015,864665,15535146,1623200,8345829,128396,126222897,4178586,581978,66164482,66164482,2286934,2441437,590547,548405126,795948,19538538,53570,70773008,0
97268337,2957476,97567756,7489113,4510333,105573,107703361,2921719,366034,70981714,70981714,2162631,3042488,597854,547730500,962083,160063095,351513,569782367,0
